| Error PID;-5,66; Integral;-5,66;55,66; Wyjœcie PID;0
| Error PID;-5,66; Integral;-11,311;55,66; Wyjœcie PID;0
| Error PID;-5,66; Integral;-16,972;55,66; Wyjœcie PID;0
| Error PID;-6,11; Integral;-23,093;56,11; Wyjœcie PID;0
| Error PID;-5,66; Integral;-28,744;55,66; Wyjœcie PID;0
| Error PID;-5,66; Integral;-34,405;55,66; Wyjœcie PID;0
| Error PID;-5,51; Integral;-39,916;55,51; Wyjœcie PID;0
| Error PID;-4,91; Integral;-44,817;54,91; Wyjœcie PID;0
| Error PID;-4,46; Integral;-49,288;54,46; Wyjœcie PID;0
| Error PID;-4,32; Integral;-53,599;54,32; Wyjœcie PID;0
| Error PID;-4,02; Integral;-57,621;54,02; Wyjœcie PID;0
| Error PID;-3,73; Integral;-61,3511;53,73; Wyjœcie PID;0
| Error PID;-3,16; Integral;-64,5112;53,16; Wyjœcie PID;0
| Error PID;-2,32; Integral;-66,8313;52,32; Wyjœcie PID;0
| Error PID;-2,18; Integral;-69,0014;52,18; Wyjœcie PID;0
| Error PID;-1,9; Integral;-70,9015;51,9; Wyjœcie PID;0
| Error PID;-1,62; Integral;-72,5316;51,62; Wyjœcie PID;0
| Error PID;-1,08; Integral;-73,6117;51,08; Wyjœcie PID;0
| Error PID;-0,01; Integral;-73,6218;50,01; Wyjœcie PID;0
| Error PID;-0,01; Integral;-73,6319;50,01; Wyjœcie PID;0
| Error PID;0,12; Integral;-73,512;49,88; Wyjœcie PID;0
| Error PID;0,77; Integral;-72,7421;49,23; Wyjœcie PID;0
| Error PID;0,9; Integral;-71,8422;49,1; Wyjœcie PID;0
| Error PID;1,54; Integral;-70,3023;48,46; Wyjœcie PID;0
| Error PID;2,05; Integral;-68,2624;47,95; Wyjœcie PID;0
| Error PID;2,3; Integral;-65,9625;47,7; Wyjœcie PID;0
| Error PID;2,42; Integral;-63,5426;47,58; Wyjœcie PID;0
| Error PID;2,79; Integral;-60,7527;47,21; Wyjœcie PID;0
| Error PID;3,16; Integral;-57,5828;46,84; Wyjœcie PID;0
| Error PID;3,65; Integral;-53,9329;46,35; Wyjœcie PID;0
| Error PID;4,25; Integral;-49,683;45,75; Wyjœcie PID;0
| Error PID;4,61; Integral;-45,0731;45,39; Wyjœcie PID;0
| Error PID;4,61; Integral;-40,4732;45,39; Wyjœcie PID;0
| Error PID;5,08; Integral;-35,3933;44,92; Wyjœcie PID;0
| Error PID;5,32; Integral;-30,0734;44,68; Wyjœcie PID;0
| Error PID;5,66; Integral;-24,4035;44,34; Wyjœcie PID;0
| Error PID;6,24; Integral;-18,1636;43,76; Wyjœcie PID;0
| Error PID;6,7; Integral;-11,4737;43,3; Wyjœcie PID;0
| Error PID;6,7; Integral;-4,7738;43,3; Wyjœcie PID;0
| Error PID;7,15; Integral;2,3839;42,85; Wyjœcie PID;26,67
| Error PID;7,37; Integral;9,764;42,63; Wyjœcie PID;63,76
| Error PID;7,6; Integral;17,3641;42,4; Wyjœcie PID;102,2
| Error PID;8,04; Integral;25,4042;41,96; Wyjœcie PID;143,53
| Error PID;8,59; Integral;33,9943;41,41; Wyjœcie PID;187,7
| Error PID;8,81; Integral;42,8044;41,19; Wyjœcie PID;231,86
| Error PID;8,92; Integral;51,7245;41,08; Wyjœcie PID;255
| Error PID;9,03; Integral;60,7546;40,97; Wyjœcie PID;255
| Error PID;9,35; Integral;70,1047;40,65; Wyjœcie PID;255
| Error PID;9,57; Integral;79,6748;40,43; Wyjœcie PID;255
| Error PID;9,35; Integral;89,0349;40,65; Wyjœcie PID;255
| Error PID;9,35; Integral;98,385;40,65; Wyjœcie PID;255
| Error PID;9,46; Integral;107,8451;40,54; Wyjœcie PID;255
| Error PID;9,57; Integral;117,4152;40,43; Wyjœcie PID;255
| Error PID;9,24; Integral;126,6553;40,76; Wyjœcie PID;255
| Error PID;9,14; Integral;135,7954;40,86; Wyjœcie PID;255
| Error PID;9,24; Integral;145,0355;40,76; Wyjœcie PID;255
| Error PID;9,03; Integral;154,0656;40,97; Wyjœcie PID;255
| Error PID;8,81; Integral;162,8757;41,19; Wyjœcie PID;255
| Error PID;8,7; Integral;171,5858;41,3; Wyjœcie PID;255
| Error PID;8,81; Integral;180,3959;41,19; Wyjœcie PID;255
| Error PID;8,48; Integral;188,876;41,52; Wyjœcie PID;255
| Error PID;8,26; Integral;197,1361;41,74; Wyjœcie PID;255
| Error PID;8,26; Integral;205,4062;41,74; Wyjœcie PID;255
| Error PID;8,15; Integral;213,5563;41,85; Wyjœcie PID;255
| Error PID;7,82; Integral;221,3764;42,18; Wyjœcie PID;255
| Error PID;7,71; Integral;229,0865;42,29; Wyjœcie PID;255
| Error PID;7,6; Integral;236,6866;42,4; Wyjœcie PID;255
| Error PID;7,37; Integral;244,0567;42,63; Wyjœcie PID;255
| Error PID;7,15; Integral;251,2068;42,85; Wyjœcie PID;255
| Error PID;7,04; Integral;258,2469;42,96; Wyjœcie PID;255
| Error PID;7,04; Integral;265,287;42,96; Wyjœcie PID;255
| Error PID;6,7; Integral;271,9871;43,3; Wyjœcie PID;255
| Error PID;6,58; Integral;278,5672;43,42; Wyjœcie PID;255
| Error PID;6,47; Integral;285,0373;43,53; Wyjœcie PID;255
| Error PID;6,36; Integral;291,3974;43,64; Wyjœcie PID;255
| Error PID;6,13; Integral;297,5275;43,87; Wyjœcie PID;255
| Error PID;6,01; Integral;303,5376;43,99; Wyjœcie PID;255
| Error PID;6,01; Integral;309,5477;43,99; Wyjœcie PID;255
| Error PID;5,66; Integral;315,2078;44,34; Wyjœcie PID;255
| Error PID;5,43; Integral;320,6479;44,57; Wyjœcie PID;255
| Error PID;5,43; Integral;326,078;44,57; Wyjœcie PID;255
| Error PID;5,43; Integral;331,5081;44,57; Wyjœcie PID;255
| Error PID;5,08; Integral;336,5882;44,92; Wyjœcie PID;255
| Error PID;4,96; Integral;341,5483;45,04; Wyjœcie PID;255
| Error PID;4,85; Integral;346,3984;45,15; Wyjœcie PID;255
| Error PID;4,73; Integral;351,1285;45,27; Wyjœcie PID;255
| Error PID;4,37; Integral;355,4986;45,63; Wyjœcie PID;255
| Error PID;4,25; Integral;359,7487;45,75; Wyjœcie PID;255
| Error PID;4,37; Integral;364,1188;45,63; Wyjœcie PID;255
| Error PID;4,01; Integral;368,1289;45,99; Wyjœcie PID;255
| Error PID;3,77; Integral;371,899;46,23; Wyjœcie PID;255
| Error PID;3,77; Integral;375,6691;46,23; Wyjœcie PID;255
| Error PID;3,77; Integral;379,4392;46,23; Wyjœcie PID;255
| Error PID;3,28; Integral;382,7293;46,72; Wyjœcie PID;255
| Error PID;3,28; Integral;386,0094;46,72; Wyjœcie PID;255
| Error PID;3,28; Integral;389,2995;46,72; Wyjœcie PID;255
| Error PID;3,04; Integral;392,3396;46,96; Wyjœcie PID;255
| Error PID;2,79; Integral;395,1297;47,21; Wyjœcie PID;255
| Error PID;2,67; Integral;397,7998;47,33; Wyjœcie PID;255
| Error PID;2,79; Integral;400,5899;47,21; Wyjœcie PID;255
| Error PID;2,42; Integral;403,001;47,58; Wyjœcie PID;255
| Error PID;2,17; Integral;405,17101;47,83; Wyjœcie PID;255
| Error PID;2,42; Integral;407,59102;47,58; Wyjœcie PID;255
| Error PID;2,05; Integral;409,64103;47,95; Wyjœcie PID;255
| Error PID;1,67; Integral;411,31104;48,33; Wyjœcie PID;255
| Error PID;1,79; Integral;413,10105;48,21; Wyjœcie PID;255
| Error PID;1,67; Integral;414,77106;48,33; Wyjœcie PID;255
| Error PID;1,29; Integral;416,05107;48,71; Wyjœcie PID;255
| Error PID;1,29; Integral;417,34108;48,71; Wyjœcie PID;255
| Error PID;1,29; Integral;418,62109;48,71; Wyjœcie PID;255
| Error PID;0,9; Integral;419,5211;49,1; Wyjœcie PID;255
| Error PID;0,77; Integral;420,29111;49,23; Wyjœcie PID;255
| Error PID;0,9; Integral;421,19112;49,1; Wyjœcie PID;255
| Error PID;0,38; Integral;421,58113;49,62; Wyjœcie PID;255
| Error PID;0,38; Integral;421,96114;49,62; Wyjœcie PID;255
| Error PID;0,38; Integral;422,34115;49,62; Wyjœcie PID;255
| Error PID;0,12; Integral;422,46116;49,88; Wyjœcie PID;255
| Error PID;-0,14; Integral;422,31117;50,14; Wyjœcie PID;255
| Error PID;-0,01; Integral;422,30118;50,01; Wyjœcie PID;255
| Error PID;-0,14; Integral;422,15119;50,14; Wyjœcie PID;255
| Error PID;-0,54; Integral;421,6112;50,54; Wyjœcie PID;255
| Error PID;-0,54; Integral;421,07121;50,54; Wyjœcie PID;255
| Error PID;-0,68; Integral;420,39122;50,68; Wyjœcie PID;255
| Error PID;-0,95; Integral;419,45123;50,95; Wyjœcie PID;255
| Error PID;-0,81; Integral;418,64124;50,81; Wyjœcie PID;255
| Error PID;-1,22; Integral;417,42125;51,22; Wyjœcie PID;255
| Error PID;-1,35; Integral;416,07126;51,35; Wyjœcie PID;255
| Error PID;-1,35; Integral;414,72127;51,35; Wyjœcie PID;255
| Error PID;-1,62; Integral;413,09128;51,62; Wyjœcie PID;255
| Error PID;-1,62; Integral;411,47129;51,62; Wyjœcie PID;255
| Error PID;-1,62; Integral;409,8413;51,62; Wyjœcie PID;255
| Error PID;-2,18; Integral;407,67131;52,18; Wyjœcie PID;255
| Error PID;-2,18; Integral;405,49132;52,18; Wyjœcie PID;255
| Error PID;-2,18; Integral;403,31133;52,18; Wyjœcie PID;255
| Error PID;-2,46; Integral;400,86134;52,46; Wyjœcie PID;255
| Error PID;-2,46; Integral;398,40135;52,46; Wyjœcie PID;255
| Error PID;-2,6; Integral;395,81136;52,6; Wyjœcie PID;255
| Error PID;-3,02; Integral;392,79137;53,02; Wyjœcie PID;255
| Error PID;-2,88; Integral;389,91138;52,88; Wyjœcie PID;255
| Error PID;-3,02; Integral;386,89139;53,02; Wyjœcie PID;255
| Error PID;-3,3; Integral;383,5914;53,3; Wyjœcie PID;255
| Error PID;-3,16; Integral;380,43141;53,16; Wyjœcie PID;255
| Error PID;-3,45; Integral;376,98142;53,45; Wyjœcie PID;255
| Error PID;-3,73; Integral;373,25143;53,73; Wyjœcie PID;255
| Error PID;-3,59; Integral;369,66144;53,59; Wyjœcie PID;255
| Error PID;-3,88; Integral;365,78145;53,88; Wyjœcie PID;255
| Error PID;-4,02; Integral;361,76146;54,02; Wyjœcie PID;255
| Error PID;-4,02; Integral;357,73147;54,02; Wyjœcie PID;255
| Error PID;-4,32; Integral;353,42148;54,32; Wyjœcie PID;255
| Error PID;-4,46; Integral;348,95149;54,46; Wyjœcie PID;255
| Error PID;-4,32; Integral;344,6415;54,32; Wyjœcie PID;255
| Error PID;-4,61; Integral;340,03151;54,61; Wyjœcie PID;255
| Error PID;-4,76; Integral;335,27152;54,76; Wyjœcie PID;255
| Error PID;-4,76; Integral;330,51153;54,76; Wyjœcie PID;255
| Error PID;-5,2; Integral;325,31154;55,2; Wyjœcie PID;255
| Error PID;-5,2; Integral;320,10155;55,2; Wyjœcie PID;255
| Error PID;-5,06; Integral;315,05156;55,06; Wyjœcie PID;255
| Error PID;-5,66; Integral;309,39157;55,66; Wyjœcie PID;255
| Error PID;-5,51; Integral;303,88158;55,51; Wyjœcie PID;255
| Error PID;-5,51; Integral;298,38159;55,51; Wyjœcie PID;255
| Error PID;-5,96; Integral;292,4216;55,96; Wyjœcie PID;255
| Error PID;-5,81; Integral;286,61161;55,81; Wyjœcie PID;255
| Error PID;-5,81; Integral;280,80162;55,81; Wyjœcie PID;255
| Error PID;-6,27; Integral;274,53163;56,27; Wyjœcie PID;255
| Error PID;-6,11; Integral;268,41164;56,11; Wyjœcie PID;255
| Error PID;-6,42; Integral;261,99165;56,42; Wyjœcie PID;255
| Error PID;-6,58; Integral;255,41166;56,58; Wyjœcie PID;255
| Error PID;-6,27; Integral;249,14167;56,27; Wyjœcie PID;255
| Error PID;-6,73; Integral;242,41168;56,73; Wyjœcie PID;255
| Error PID;-6,89; Integral;235,5217;56,89; Wyjœcie PID;255
| Error PID;-6,73; Integral;228,79171;56,73; Wyjœcie PID;255
| Error PID;-7,2; Integral;221,58172;57,2; Wyjœcie PID;255
| Error PID;-7,2; Integral;214,38173;57,2; Wyjœcie PID;255
| Error PID;-7,05; Integral;207,33174;57,05; Wyjœcie PID;255
| Error PID;-7,68; Integral;199,65175;57,68; Wyjœcie PID;255
| Error PID;-7,52; Integral;192,13176;57,52; Wyjœcie PID;255
| Error PID;-7,52; Integral;184,61177;57,52; Wyjœcie PID;255
| Error PID;-7,84; Integral;176,76178;57,84; Wyjœcie PID;255
| Error PID;-7,68; Integral;169,08179;57,68; Wyjœcie PID;255
| Error PID;-8; Integral;161,0818;58; Wyjœcie PID;255
| Error PID;-8,33; Integral;152,75181;58,33; Wyjœcie PID;255
| Error PID;-8; Integral;144,75182;58; Wyjœcie PID;255
| Error PID;-8,33; Integral;136,42183;58,33; Wyjœcie PID;255
| Error PID;-8,49; Integral;127,93184;58,49; Wyjœcie PID;255
| Error PID;-8,33; Integral;119,61185;58,33; Wyjœcie PID;255
| Error PID;-8,82; Integral;110,79186;58,82; Wyjœcie PID;255
| Error PID;-8,82; Integral;101,97187;58,82; Wyjœcie PID;255
| Error PID;-8,65; Integral;93,32188;58,65; Wyjœcie PID;255
| Error PID;-8,98; Integral;84,33189;58,98; Wyjœcie PID;255
| Error PID;-9,15; Integral;75,1919;59,15; Wyjœcie PID;255
| Error PID;-8,98; Integral;66,20191;58,98; Wyjœcie PID;255
| Error PID;-9,32; Integral;56,89192;59,32; Wyjœcie PID;255
| Error PID;-9,32; Integral;47,57193;59,32; Wyjœcie PID;219,22
| Error PID;-9,15; Integral;38,42194;59,15; Wyjœcie PID;173,98
| Error PID;-9,65; Integral;28,77195;59,65; Wyjœcie PID;124,05
| Error PID;-9,99; Integral;18,78196;59,99; Wyjœcie PID;73,58
| Error PID;-9,99; Integral;8,79197;59,99; Wyjœcie PID;23,97
| Error PID;-9,82; Integral;-1,03198;59,82; Wyjœcie PID;0
| Error PID;-10,33; Integral;-11,36199;60,33; Wyjœcie PID;0
| Error PID;-10,16; Integral;-21,522;60,16; Wyjœcie PID;0
| Error PID;-9,48; Integral;-31,01201;59,48; Wyjœcie PID;0
| Error PID;-9,32; Integral;-40,32202;59,32; Wyjœcie PID;0
| Error PID;-9,32; Integral;-49,64203;59,32; Wyjœcie PID;0
| Error PID;-9,15; Integral;-58,79204;59,15; Wyjœcie PID;0
| Error PID;-8,49; Integral;-67,28205;58,49; Wyjœcie PID;0
| Error PID;-8,16; Integral;-75,44206;58,16; Wyjœcie PID;0
| Error PID;-7,84; Integral;-83,28207;57,84; Wyjœcie PID;0
| Error PID;-7,05; Integral;-90,33208;57,05; Wyjœcie PID;0
| Error PID;-6,89; Integral;-97,22209;56,89; Wyjœcie PID;0
| Error PID;-6,58; Integral;-103,8021;56,58; Wyjœcie PID;0
| Error PID;-5,96; Integral;-109,76211;55,96; Wyjœcie PID;0
| Error PID;-5,2; Integral;-114,97212;55,2; Wyjœcie PID;0
| Error PID;-4,91; Integral;-119,87213;54,91; Wyjœcie PID;0
| Error PID;-4,61; Integral;-124,48214;54,61; Wyjœcie PID;0
| Error PID;-3,73; Integral;-128,22215;53,73; Wyjœcie PID;0
| Error PID;-3,73; Integral;-131,95216;53,73; Wyjœcie PID;0
| Error PID;-3,16; Integral;-135,11217;53,16; Wyjœcie PID;0
| Error PID;-2,46; Integral;-137,57218;52,46; Wyjœcie PID;0
| Error PID;-2,04; Integral;-139,60219;52,04; Wyjœcie PID;0
| Error PID;-1,76; Integral;-141,3722;51,76; Wyjœcie PID;0
| Error PID;-0,95; Integral;-142,31221;50,95; Wyjœcie PID;0
| Error PID;-0,81; Integral;-143,12222;50,81; Wyjœcie PID;0
| Error PID;-0,14; Integral;-143,27223;50,14; Wyjœcie PID;0
| Error PID;0,38; Integral;-142,89224;49,62; Wyjœcie PID;0
| Error PID;0,64; Integral;-142,24225;49,36; Wyjœcie PID;0
| Error PID;1,16; Integral;-141,09226;48,84; Wyjœcie PID;0
| Error PID;1,16; Integral;-139,93227;48,84; Wyjœcie PID;0
| Error PID;1,92; Integral;-138,01228;48,08; Wyjœcie PID;0
| Error PID;2,17; Integral;-135,84229;47,83; Wyjœcie PID;0
| Error PID;2,3; Integral;-133,5423;47,7; Wyjœcie PID;0
| Error PID;2,92; Integral;-130,63231;47,08; Wyjœcie PID;0
| Error PID;3,53; Integral;-127,10232;46,47; Wyjœcie PID;0
| Error PID;3,53; Integral;-123,57233;46,47; Wyjœcie PID;0
| Error PID;3,89; Integral;-119,68234;46,11; Wyjœcie PID;0
| Error PID;4,49; Integral;-115,19235;45,51; Wyjœcie PID;0
| Error PID;4,85; Integral;-110,34236;45,15; Wyjœcie PID;0
| Error PID;4,85; Integral;-105,50237;45,15; Wyjœcie PID;0
| Error PID;5,55; Integral;-99,95238;44,45; Wyjœcie PID;0
| Error PID;5,9; Integral;-94,05239;44,1; Wyjœcie PID;0
| Error PID;6,24; Integral;-87,8124;43,76; Wyjœcie PID;0
| Error PID;6,36; Integral;-81,46241;43,64; Wyjœcie PID;0
| Error PID;6,58; Integral;-74,87242;43,42; Wyjœcie PID;0
| Error PID;6,92; Integral;-67,95243;43,08; Wyjœcie PID;0
| Error PID;7,6; Integral;-60,35244;42,4; Wyjœcie PID;0
| Error PID;7,71; Integral;-52,64245;42,29; Wyjœcie PID;0
| Error PID;7,82; Integral;-44,82246;42,18; Wyjœcie PID;0
| Error PID;8,15; Integral;-36,66247;41,85; Wyjœcie PID;0
| Error PID;8,7; Integral;-27,96248;41,3; Wyjœcie PID;0
| Error PID;9,03; Integral;-18,93249;40,97; Wyjœcie PID;0
| Error PID;9,03; Integral;-9,9025;40,97; Wyjœcie PID;0
| Error PID;9,35; Integral;-0,55251;40,65; Wyjœcie PID;16,27
| Error PID;9,57; Integral;9,02252;40,43; Wyjœcie PID;64,43
| Error PID;10,1; Integral;19,12253;39,9; Wyjœcie PID;116,33
| Error PID;10,21; Integral;29,33254;39,79; Wyjœcie PID;167,16
| Error PID;10,53; Integral;39,85255;39,47; Wyjœcie PID;220,64
| Error PID;10,84; Integral;50,70256;39,16; Wyjœcie PID;255
| Error PID;11,05; Integral;61,75257;38,95; Wyjœcie PID;255
| Error PID;11,05; Integral;72,80258;38,95; Wyjœcie PID;255
| Error PID;11,47; Integral;84,27259;38,53; Wyjœcie PID;255
| Error PID;11,36; Integral;95,6326;38,64; Wyjœcie PID;255
| Error PID;11,36; Integral;106,99261;38,64; Wyjœcie PID;255
| Error PID;11,47; Integral;118,46262;38,53; Wyjœcie PID;255
| Error PID;11,26; Integral;129,72263;38,74; Wyjœcie PID;255
| Error PID;11,26; Integral;140,98264;38,74; Wyjœcie PID;255
"| Error PID: 11,26 | Integral: 140,98264;38,74 | Wyjœcie PID: 255,00";;;;;;
